oligomer,i,name,DQ_NPA,DQ_mulliken,Q_LUMO,Dgeom
L2-CHO,0,terminal,-0.7989799999999999,-0.722588,0.2961107879541825,0.914115859722473
L2-CHO,2,phenylene,-0.1714399999999999,-0.173428,0.0763222742244829,0.0858841402775268
L3-CHO,0,terminal,-0.49959999999999993,-0.725744,0.2406680390844909,0.8638842208251163
L3-CHO,2,phenylene,-0.1497299999999999,-0.091891,0.1009548576862487,0.103197553825078
L3-CHO,3,phenylene,-0.04173,-0.062553,0.0176463669758189,0.0329182253498055
L4-CHO,0,terminal,-0.72634,-0.69667,0.2262524269440104,0.8400626641160731
L4-CHO,2,phenylene,-0.1430099999999999,-0.080839,0.1039751788323447,0.1073045089740285
L4-CHO,3,phenylene,-0.06753,-0.043716,0.0278505770581087,0.0400956757225832
L4-CHO,4,phenylene,-0.0272399999999999,-0.0243319999999999,0.008518483411907,0.0125371511873151
L5-CHO,0,terminal,-0.72247,-0.6995250000000002,0.21794031835828678,0.8336254630649835
L5-CHO,2,phenylene,-0.1557,-0.082149,0.1005274246799628,0.1076087589730414
L5-CHO,3,phenylene,-0.0514399999999999,-0.036841,0.0310237573648097,0.0395809941710817
L5-CHO,4,phenylene,-0.03114,-0.0091009999999999,0.0138967083971371,0.0145295296871568
L5-CHO,5,phenylene,-0.01056,-0.0137389999999999,0.0043621790162654,0.0046552541037363
L6-CHO,0,terminal,-0.72081,-0.7026959999999999,0.2126650291807671,0.8293849253013208
L6-CHO,2,phenylene,-0.14244,-0.0754449999999999,0.0991002249173711,0.1080004127548813
L6-CHO,3,phenylene,-0.0727,-0.045484,0.0310890678018826,0.0408642951768458
L6-CHO,4,phenylene,-0.01337,-0.0070499999999999,0.0155162796294804,0.0144459112179257
L6-CHO,5,phenylene,-0.0185399999999999,-0.0113249999999999,0.0073771144561352,0.0053330017373854
L6-CHO,6,phenylene,-0.0085399999999999,-0.008703,0.0021861582693083,0.0019714538116407
L7-CHO,0,terminal,-0.72817,-0.7086490000000001,0.2095802274371668,0.8285632775133023
L7-CHO,2,phenylene,-0.16218,-0.080233,0.0980669662352805,0.1081490679068774
L7-CHO,3,phenylene,-0.0618599999999999,-0.031162,0.0313050867533202,0.0392577784801924
L7-CHO,4,phenylene,0.0023199999999999,-0.0007809999999999,0.0157885439796353,0.014993868848913
L7-CHO,5,phenylene,-0.0106799999999998,-0.0155859999999999,0.0085854070560191,0.0054175240132772
L7-CHO,6,phenylene,-0.01698,-0.0073739999999999,0.003836647185944,0.0025399130438431
L7-CHO,7,phenylene,-0.00503,-0.0012389999999999,0.0010771298032827,0.0010785701935943
L8-CHO,0,terminal,-0.7213899999999998,-0.7113029999999998,0.2078241080540831,0.8273269155702736
L8-CHO,2,phenylene,-0.11359,-0.0713259999999999,0.0975256371175182,0.1076688534260559
L8-CHO,3,phenylene,-0.0874899999999999,-0.0486359999999998,0.031374336493589,0.0404007136719197
L8-CHO,4,phenylene,-0.0555499999999999,-0.007734,0.0160716131937809,0.0145621737016245
L8-CHO,5,phenylene,-0.0032899999999999,-0.0176859999999999,0.0088306964336458,0.0058540401746112
L8-CHO,6,phenylene,-0.0102499999999999,-0.0059789999999999,0.0044653030912208,0.0024062022050835
L8-CHO,7,phenylene,-0.02119,-0.002823,0.0018916956947282,0.0009513286348078
L8-CHO,8,phenylene,-0.0081199999999999,-0.0027349999999998,0.0005484875201138,0.0008297726156237
