oligomer,i,name,DQ_NPA,DQ_mulliken,Q_LUMO,Dgeom
L2-CHO,0,terminal,-0.79932,-0.7392819999999999,0.7910335031934445,0.9165621322736971
L2-CHO,2,phenylene,-0.1553300000000001,-0.221258,0.1728236569304609,0.083437867726303
L3-CHO,0,terminal,-0.7551300000000001,-0.7688919999999999,0.667519036230123,0.8685529148277205
L3-CHO,2,phenylene,-0.13993,-0.0630489999999999,0.2131941631379175,0.0998672803916515
L3-CHO,3,phenylene,-0.0564499999999999,-0.1106109999999999,0.0767639230264761,0.0315798047806278
L4-CHO,0,terminal,-0.69426,-0.7273689999999997,0.6041146893564349,0.8488527309548193
L4-CHO,2,phenylene,-0.09819,-0.07176,0.2135113819461429,0.1014019732486851
L4-CHO,3,phenylene,-0.09124,-0.0774250000000001,0.1098265235371999,0.0372742177170249
L4-CHO,4,phenylene,-0.0487599999999999,-0.046402,0.0275930659351328,0.0124710780794707
L5-CHO,0,terminal,-0.7018599999999999,-0.7472699999999999,0.5678122031922599,0.8413850142116703
L5-CHO,2,phenylene,-0.07979,-0.0551899999999999,0.2083718925218659,0.1027921485265675
L5-CHO,3,phenylene,-0.0629899999999999,-0.0687139999999999,0.1211344450467712,0.0381121464491505
L5-CHO,4,phenylene,-0.0634299999999999,-0.0410979999999999,0.043609287705144,0.0136369974275093
L5-CHO,5,phenylene,0.01354,-0.0199089999999999,0.0128088987709152,0.0040736933851021
L6-CHO,0,terminal,-0.6968399999999999,-0.744076,0.5482434322774751,0.838459594748399
L6-CHO,2,phenylene,-0.2034399999999999,-0.061883,0.2041947823099641,0.1024184560476028
L6-CHO,3,phenylene,0.0095099999999999,-0.07342,0.1232124187352125,0.0381519911588457
L6-CHO,4,phenylene,-0.0399099999999999,-0.0286400000000001,0.0502251266392563,0.0139699136564539
L6-CHO,5,phenylene,0.0055999999999999,-0.0164119999999998,0.0214671734044708,0.0050846458312743
L6-CHO,6,phenylene,0.0076,-0.0102349999999999,0.0058463011881083,0.001915398557424
L7-CHO,0,terminal,-0.7551300000000001,-0.7434800000000001,0.5378168298814887,0.8370043074362706
L7-CHO,2,phenylene,-0.13107,-0.0456389999999998,0.2015748496617294,0.1025949302086898
L7-CHO,3,phenylene,-0.0100399999999999,-0.0661439999999999,0.1232020114605361,0.0373026184600748
L7-CHO,4,phenylene,-0.06604,-0.0340469999999999,0.0520840250714912,0.0135324141162103
L7-CHO,5,phenylene,0.02188,-0.00936,0.0253532590706058,0.0053625417620498
L7-CHO,6,phenylene,0.0002599999999999,-0.0066749999999999,0.0099404047967731,0.0030390018464875
L7-CHO,7,phenylene,-0.00631,-0.004037,0.002910818094272,0.0011641861702167
L8-CHO,0,terminal,-0.76248,-0.760551,0.5322148506937817,0.836342148233084
L8-CHO,2,phenylene,-0.1345299999999999,0.0260929999999999,0.2000576357504965,0.1014671034090375
L8-CHO,3,phenylene,-0.14542,-0.0577329999999998,0.1228833599588582,0.0377400671369321
L8-CHO,4,phenylene,0.03004,-0.075145,0.0526427134750027,0.0141043281554747
L8-CHO,5,phenylene,0.0139299999999999,-0.0187849999999998,0.0266187268710356,0.0053569700436081
L8-CHO,6,phenylene,0.0186199999999999,-0.0165879999999999,0.0118303832963524,0.0023964387765001
L8-CHO,7,phenylene,0.04893,0.0046049999999999,0.0050151243249403,0.0018673630977693
L8-CHO,8,phenylene,-0.0343699999999999,0.01303,0.0014475811916651,0.0007255811475939
