oligomer,i,name,DQ_NPA,DQ_mulliken,Q_LUMO,Dgeom
L2,0,phenylene,-0.47174000000000005,-0.4295959999999999,0.42698773079047037,0.5
L2,1,phenylene,-0.47308000000000006,-0.4295909999999999,0.42698751158466275,0.5
L3,0,phenylene,-0.27031000000000005,-0.287037,0.18085616610500116,0.2749250235644877
L3,1,phenylene,-0.34274999999999994,-0.20985999999999994,0.31648423007751114,0.45014995287102455
L3,2,phenylene,-0.27035999999999993,-0.28703799999999996,0.1808561537935904,0.2749250235644877
L4,0,phenylene,-0.17092000000000002,-0.17751499999999998,0.09093634178702915,0.16179889309587983
L4,1,phenylene,-0.28774,-0.19547499999999998,0.21020427503991643,0.33820110690412025
L4,2,phenylene,-0.26598,-0.19547499999999995,0.21020419925097622,0.3382011069041202
L4,3,phenylene,-0.17994999999999992,-0.177516,0.09093632795960148,0.16179889309587983
L5,0,phenylene,-0.10442000000000007,-0.3076969999999999,0.055608947389016186,0.09943835262662447
L5,1,phenylene,-0.16562,-0.1494919999999999,0.13735263226901626,0.2398573826230845
L5,2,phenylene,-0.41584,-0.09163800000000005,0.18106990904407155,0.32140852950058196
L5,3,phenylene,-0.39464999999999995,-0.14949299999999993,0.13735263485100332,0.2398573826230845
L5,4,phenylene,-0.11967000000000008,-0.3076960000000002,0.055608949659750426,0.09943835262662447
L6,0,phenylene,-0.07555,-0.08473800000000015,0.037361209343445535,0.06340046567455816
L6,1,phenylene,-0.2975,-0.11146199999999996,0.09687880489983788,0.165412200838533
L6,2,phenylene,-0.3810999999999999,-0.1486879999999999,0.13816163786387878,0.2711873334869089
L6,3,phenylene,-0.3880700000000001,-0.14868999999999996,0.13816162676213226,0.2711873334869089
L6,4,phenylene,-0.33914,-0.11146199999999999,0.0968788020404536,0.165412200838533
L6,5,phenylene,-0.07914999999999997,-0.08474099999999979,0.03736121178812702,0.06340046567455816
L7,0,phenylene,-0.04582000000000011,-0.061915,0.026462340467334342,0.04079180179945608
L7,1,phenylene,-0.08375000000000012,-0.07387400000000006,0.07121861913184617,0.11376474952709852
L7,2,phenylene,-0.16471999999999998,-0.122139,0.10787804197581244,0.21229611180500652
L7,3,phenylene,-0.20372999999999997,-0.1724010000000001,0.11796493346628588,0.26596101679322776
L7,4,phenylene,-0.1632599999999999,-0.12214,0.1078779988443011,0.21229611180500652
L7,5,phenylene,-0.09962000000000001,-0.073876,0.0712186347821624,0.11376474952709852
L7,6,phenylene,-0.03702000000000001,-0.06191199999999969,0.026462339934653092,0.04112545874310605
L8,0,phenylene,-0.03424999999999995,-0.061265000000000125,0.01949323526566785,0.02818493416821049
L8,1,phenylene,-0.07776,-0.04282700000000003,0.05391196962234309,0.07717129400122096
L8,2,phenylene,-0.12652000000000002,-0.06258000000000002,0.08545824640153946,0.15888558580586595
L8,3,phenylene,-0.18595999999999993,-0.13577900000000004,0.10024628574090752,0.2357581797751972
L8,4,phenylene,-0.21125,-0.13577099999999998,0.10024630437014875,0.23575819227420802
L8,5,phenylene,-0.1187400000000001,-0.0625730000000001,0.0854582293572027,0.15888558580586595
L8,6,phenylene,-0.06828000000000009,-0.042825999999999975,0.05391195484933143,0.07717129400122096
L8,7,phenylene,-0.029909999999999992,-0.061266999999999905,0.01949324737328915,0.02818493416821049
L9,0,phenylene,-0.017890000000000017,-0.02859400000000012,0.01482180113832136,0.018416728895188757
L9,1,phenylene,-0.058559999999999945,-0.042351,0.04171519826961275,0.053018739513900855
L9,2,phenylene,-0.10937999999999995,-0.07277499999999998,0.06841776097568854,0.11479449425822365
L9,3,phenylene,-0.16416000000000008,-0.13384200000000002,0.08462846068987379,0.19604222398152388
L9,4,phenylene,-0.18788999999999997,-0.14382199999999998,0.0909128551457229,0.2354556166140144
L9,5,phenylene,-0.16073,-0.13382099999999997,0.08462848577529103,0.19604223406983515
L9,6,phenylene,-0.11448999999999998,-0.07277799999999993,0.0684177798216767,0.11479449425822365
L9,7,phenylene,-0.04175,-0.04234599999999997,0.04171521063443792,0.053018739513900855
L9,8,phenylene,-0.023859999999999992,-0.028587999999999947,0.014821795408643456,0.018416728895188757
L10,0,phenylene,-0.014010000000000022,-0.021399999999999975,0.011557469908180107,0.013175201186681834
L10,1,phenylene,-0.037959999999999994,-0.027677000000000007,0.03298169609896779,0.03519910786570515
L10,2,phenylene,-0.0647600000000001,-0.05397200000000002,0.05536225203758327,0.08067502810722647
L10,3,phenylene,-0.14012000000000008,-0.09612500000000006,0.07128213596562731,0.15308485484372122
L10,4,phenylene,-0.17033,-0.12751200000000001,0.0808930237668459,0.21809659557041225
