oligomer,i,name,DQ_NPA,DQ_mulliken,Q_LUMO,Dgeom
L2,0,phenylene,-0.46020000000000005,-0.528674,0.4891669318930864,0.5
L2,1,phenylene,-0.5004300000000002,-0.5286679999999999,0.4891670553211481,0.5
L3,0,phenylene,-0.30279999999999996,-0.3374729999999999,0.2600915145737969,0.2776075597279308
L3,1,phenylene,-0.3870099999999999,-0.294134,0.4504385961909405,0.44478488054413856
L3,2,phenylene,-0.28603999999999996,-0.337473,0.2600915867916903,0.2776075597279308
L4,0,phenylene,-0.19143999999999992,-0.24751799999999996,0.15421317264046086,0.16447229676581576
L4,1,phenylene,-0.24684999999999996,-0.21028900000000006,0.3281380299101185,0.33552770323418424
L4,2,phenylene,-0.3173800000000001,-0.21028800000000003,0.3281380021573218,0.33552770323418424
L4,3,phenylene,-0.16565999999999986,-0.247516,0.15421307634040363,0.16447229676581576
L5,0,phenylene,-0.14411000000000002,-0.16106399999999996,0.09933949976558638,0.10123540265843128
L5,1,phenylene,-0.20243000000000008,-0.19710500000000009,0.23412190613867528,0.23968668318008676
L5,2,phenylene,-0.2844800000000002,-0.22856900000000002,0.2937181079140701,0.3181558283229639
L5,3,phenylene,-0.18622999999999998,-0.19710399999999995,0.23412165652226674,0.23968668318008676
L5,4,phenylene,-0.14375000000000007,-0.1610639999999999,0.0993394155919274,0.10123540265843128
L6,0,phenylene,-0.08533000000000007,-0.10414899999999994,0.06798939115979162,0.06525714735644676
L6,1,phenylene,-0.25871,-0.043798000000000115,0.17041074701560255,0.16634972192362882
L6,2,phenylene,-0.22350000000000003,-0.31494599999999995,0.24055608658685237,0.2683931307199244
L6,3,phenylene,-0.25172,-0.31494600000000017,0.24055586179954183,0.26839313071992443
L6,4,phenylene,-0.173,-0.04379200000000005,0.17041034683673534,0.16634972192362882
L6,5,phenylene,-0.08612000000000009,-0.10413800000000001,0.06798921659993959,0.06525714735644676
L7,0,phenylene,-0.060730000000000096,-0.08970999999999996,0.048833602581218855,0.04283389252679929
L7,1,phenylene,-0.12117999999999998,0.022280999999999995,0.1271877932705827,0.11359908568680648
L7,2,phenylene,-0.12961000000000003,-0.18723600000000007,0.19309259742342097,0.2115173478740461
L7,3,phenylene,-0.21533000000000005,-0.2058160000000001,0.21777774673012118,0.26409934782469635
L7,4,phenylene,-0.23361000000000004,-0.18722199999999994,0.1930924708193679,0.2115173478740461
L7,5,phenylene,-0.13144,0.022286999999999946,0.1271875431729786,0.11359908568680648
L7,6,phenylene,-0.06613000000000005,-0.08970599999999998,0.048833510135158235,0.04283389252679929
L8,0,phenylene,-0.023410000000000042,-0.056356999999999824,0.03636219092765913,0.02863153073550104
L8,1,phenylene,-0.1119999999999999,-0.08533299999999999,0.09732331408193087,0.07761032053279562
L8,2,phenylene,-0.13750000000000004,-0.14061599999999996,0.15500043265726404,0.15824160991106026
L8,3,phenylene,-0.30719,-0.17441899999999988,0.18862956051676227,0.23551653674484077
L8,4,phenylene,-0.23120000000000002,-0.174423,0.18862955963993033,0.23551653674484077
L8,5,phenylene,-0.10217000000000004,-0.14062099999999988,0.15500043045387082,0.15824160991106026
L8,6,phenylene,-0.12755,-0.0853259999999999,0.09732330738780405,0.07761032053279562
L8,7,phenylene,-0.022930000000000034,-0.05635799999999988,0.03636218798310089,0.028631534887105837
L9,0,phenylene,-0.06384000000000004,-0.038713,0.027919608311149327,0.02004764859217182
L9,1,phenylene,-0.05253000000000005,-0.0652370000000001,0.07606544485087711,0.05250948827580679
L9,2,phenylene,-0.10099,-0.10510200000000003,0.1254073933694204,0.11473055609058502
L9,3,phenylene,-0.12161999999999992,-0.1552229999999999,0.16064885782789237,0.1952247249377649
L9,4,phenylene,-0.2493,-0.18739100000000003,0.17351904528669093,0.23497614339845585
L9,5,phenylene,-0.13839000000000004,-0.15522100000000005,0.1606488504294355,0.19522374574665202
L9,6,phenylene,-0.10085999999999998,-0.10510600000000014,0.12540736507420908,0.11473055609058502
L9,7,phenylene,-0.054759999999999996,-0.06523600000000007,0.07606541349010708,0.05250948827580679
L9,8,phenylene,-0.03744999999999999,-0.03871199999999991,0.027919552320538544,0.02004764859217182
L10,0,phenylene,-0.02916000000000002,-0.02597399999999994,0.021936242425963447,0.013540771774784579
L10,1,phenylene,-0.04761,-0.05030599999999996,0.06051839475467105,0.036342080244650056
L10,2,phenylene,-0.06338999999999997,-0.080179,0.10242192332819938,0.08136537528221131
L10,3,phenylene,-0.26961999999999997,-0.12431599999999998,0.13628192639925674,0.15222520103449338
L10,4,phenylene,-0.22835,-0.17760699999999996,0.1552093994897045,0.21686308207294416
L10,5,phenylene,-0.22826999999999986,-0.17757800000000012,0.15520940022311502,0.2168613540685395
L10,6,phenylene,-0.10854999999999998,-0.12425000000000008,0.13628193477699518,0.15222520103449338
L10,7,phenylene,-0.15481999999999999,-0.0801170000000001,0.1024218838914464,0.0809052038705507
L10,8,phenylene,-0.054400000000000004,-0.05027000000000004,0.06051833421697884,0.036342080244650056
L10,9,phenylene,0.005279999999999979,-0.025946999999999942,0.02193614063135179,0.013329650372682687
L11,0,phenylene,-0.023559999999999998,-0.015944999999999987,0.01768098972573702,0.009021713997882616
L11,1,phenylene,-0.04814000000000008,-0.03914300000000004,0.048989835435950646,0.024378618149659453
L11,2,phenylene,-0.04012000000000002,-0.06408199999999986,0.08447659742420202,0.05602551278974351
L11,3,phenylene,-0.1433,-0.10411099999999995,0.11559594526788174,0.1138945605349953
L11,4,phenylene,-0.17356,-0.16284599999999994,0.1370204355217665,0.18533057216513257
L11,5,phenylene,-0.2610199999999999,-0.18174499999999993,0.14464473498664676,0.22253818101861003
L11,6,phenylene,-0.10841,-0.16288599999999998,0.1370204945612139,0.1853305721651326
L11,7,phenylene,-0.08629999999999996,-0.10414100000000004,0.11559608556817148,0.11380201281648618
L11,8,phenylene,-0.07932999999999998,-0.06409299999999984,0.08447668392396808,0.056025512789743506
L11,9,phenylene,-0.03475000000000003,-0.03917700000000002,0.0489898846056106,0.024378618149659453
L11,10,phenylene,-0.014440000000000064,-0.015944000000000014,0.017680817928978715,0.009274125422954712
L12,0,phenylene,-0.019689999999999958,-0.011787999999999854,0.014310017420892756,0.006121983784264399
L12,1,phenylene,-0.021730000000000013,-0.029915000000000025,0.04012217383370367,0.016647619424408632
L12,2,phenylene,-0.039400000000000046,-0.04308499999999993,0.07034935141862549,0.03811754876080167
L12,3,phenylene,-0.04238999999999998,-0.07561200000000012,0.09844884634648667,0.08253134942429838
L12,4,phenylene,-0.19313999999999992,-0.13340799999999997,0.12027476955028307,0.14879534572527545
L12,5,phenylene,-0.2397,-0.17274199999999995,0.13230287459981593,0.20862475828664234
L12,6,phenylene,-0.1914799999999999,-0.1725899999999999,0.13230285603298406,0.20862475828664234
L12,7,phenylene,-0.09984999999999997,-0.133042,0.12027481998670789,0.14791082728509308
L12,8,phenylene,-0.23793999999999993,-0.07531599999999994,0.09844881557862396,0.08201520403301511
L12,9,phenylene,-0.02566999999999997,-0.04291200000000006,0.07034935175481936,0.03792170073530707
L12,10,phenylene,-0.03174999999999997,-0.02979900000000013,0.04012189065928415,0.016747351127798474
L12,11,phenylene,-0.003909999999999969,-0.011712,0.014309629062772672,0.005941553126453119
