oligomer,i,name,DQ_NPA,DQ_mulliken,Q_LUMO,Dgeom
P2-CHO,0,terminal,-0.8295199999999998,-0.9300389999999998,0.4521790007940611,0.9103182618248723
P2-CHO,2,phenylene,-0.1704799999999999,-0.0699590000000001,0.5478209992059389,0.0896817381751277
P3-CHO,0,terminal,-0.78912,-0.8964750000000001,0.27668857495147026,0.8690312126759292
P3-CHO,2,phenylene,-0.1599499999999999,-0.0362340000000001,0.6605283852812259,0.1074568274890793
P3-CHO,3,phenylene,-0.0509199999999999,-0.067291,0.0627830397673039,0.0235119598349914
P4-CHO,0,terminal,-0.7676399999999999,-0.859531,0.549521046787176,0.850925034721044
P4-CHO,2,phenylene,-0.1724899999999999,0.0123869999999999,0.3385619861988854,0.115277658091588
P4-CHO,3,phenylene,-0.0301100000000001,-0.0845889999999999,0.0936673493475668,0.0279837629247164
P4-CHO,4,phenylene,-0.0218099999999999,-0.068264,0.0182496176663718,0.0058135442626515
P5-CHO,0,terminal,-0.76817,-0.8566420000000001,0.4477825896440597,0.8473535716413059
P5-CHO,2,phenylene,-0.16293,-0.0285209999999999,0.4355316334566386,0.1152791821729914
P5-CHO,3,phenylene,-0.04615,-0.1083709999999998,0.0397402524256647,0.0298337929063597
P5-CHO,4,phenylene,-0.00464,-0.0447880000000001,0.0713718400700007,0.0060436900946126
P5-CHO,5,phenylene,-0.0037899999999999,0.0383189999999999,0.0055736844036361,0.0014897631847301
P6-CHO,0,terminal,-0.7928499999999998,-0.860381,0.4388285742987182,0.8444906285396123
P6-CHO,2,phenylene,-0.1359399999999999,-0.0224709999999998,0.4423121448578737,0.1171060592808338
P6-CHO,3,phenylene,-0.05282,-0.087472,0.0284422731131695,0.0294465575395384
P6-CHO,4,phenylene,-0.0019599999999999,-0.0370239999999998,0.0712989385364581,0.0066116638756111
P6-CHO,5,phenylene,0.0059,-0.0029180000000001,0.0178772773044476,0.0016569817359788
P6-CHO,6,phenylene,-0.0027899999999999,0.010269,0.0012407918893327,0.0006881090284251
P7-CHO,0,terminal,-0.7909899999999999,-0.8317320000000001,0.4934411415401598,0.8442202229514006
P7-CHO,2,phenylene,-0.15532,-0.0574790000000001,0.3998770241587476,0.1162479044731964
P7-CHO,3,phenylene,-0.0405399999999998,-0.1006389999999999,0.036620934478281,0.0300921756569097
P7-CHO,4,phenylene,-0.0077499999999999,0.0052499999999999,0.0319114177278627,0.0055405203223041
P7-CHO,5,phenylene,0.00634,-0.008528,0.005000618639741,0.002102560798513
P7-CHO,6,phenylene,0.0085699999999998,-0.0251939999999998,0.0326149672548882,0.0009064381485861
P7-CHO,7,phenylene,-0.0015999999999998,0.0183159999999998,0.0005338962003195,0.0008901776490897
P8-CHO,0,terminal,-0.76886,-0.8555440000000001,0.4668346201488101,0.8436198983608358
P8-CHO,2,phenylene,-0.1653900000000001,-0.0325119999999999,0.4140034745109754,0.1172722128910685
P8-CHO,3,phenylene,-0.0401499999999999,-0.0843789999999999,0.0326848634349727,0.029734432207955
P8-CHO,4,phenylene,-0.0241599999999999,-0.0262210000000002,0.0544686831788212,0.0062641294505862
P8-CHO,5,phenylene,0.01825,0.001094,0.0056078305177533,0.0013139920778842
P8-CHO,6,phenylene,-0.0164999999999999,-0.004756,0.0201099193019502,0.0006868649191388
P8-CHO,7,phenylene,0.00728,0.0077240000000001,0.0059661688091981,0.0004422604978718
P8-CHO,8,phenylene,-0.0047999999999999,-0.0054119999999999,0.0003244400975183,0.0006662095946593
