oligomer,i,name,DQ_NPA,DQ_mulliken,Q_LUMO,Dgeom
P2,0,phenylene,-0.5000199999999999,-0.500001,0.500000013857015,0.5
P2,1,phenylene,-0.5000200000000001,-0.5,0.49999998614298496,0.5
P3,0,phenylene,-0.28859,-0.2491210000000001,0.30079329413185385,0.26944880469055543
P3,1,phenylene,-0.4316100000000001,-0.5017400000000001,0.39841747199700284,0.461102390618889
P3,2,phenylene,-0.27846000000000004,-0.24913699999999994,0.30078923387114337,0.2694488046905555
P4,0,phenylene,-0.16342,-0.27015100000000003,0.18137690376047208,0.14443161283400502
P4,1,phenylene,-0.33125000000000004,-0.22984799999999997,0.3186391582668489,0.35566800942856147
P4,2,phenylene,-0.35462999999999995,-0.22985099999999994,0.31862601469072194,0.3556371289796623
P4,3,phenylene,-0.15528000000000006,-0.27014699999999986,0.18135792328195718,0.1442632487577713
P5,0,phenylene,-0.09297000000000014,-0.0972459999999998,0.14052558200909412,0.07569994621924031
P5,1,phenylene,-0.24253999999999998,-0.23336699999999994,0.2328519527695313,0.24470933725232702
P5,2,phenylene,-0.3417900000000001,-0.3387650000000002,0.25323450303269285,0.358899936801357
P5,3,phenylene,-0.22455999999999998,-0.233362,0.2328535319306794,0.24470933725232702
P5,4,phenylene,-0.09369999999999998,-0.09725899999999996,0.1405344302580027,0.07598144247474865
P6,0,phenylene,-0.05385999999999999,-0.06902300000000006,0.10171587971626989,0.04034481650365662
P6,1,phenylene,-0.16360000000000013,-0.15405499999999978,0.20071838757200425,0.15344574875492165
P6,2,phenylene,-0.2726599999999999,-0.2769310000000001,0.19758643319367594,0.3062149915577769
P6,3,phenylene,-0.2932300000000001,-0.2769160000000003,0.19756389989285117,0.30603714656554915
P6,4,phenylene,-0.1531800000000001,-0.15402400000000016,0.2006884422963391,0.15344574875492165
P6,5,phenylene,-0.05444000000000007,-0.069053,0.10172695732885999,0.04051154786317396
P7,0,phenylene,-0.03058999999999998,-0.050687000000000204,0.07568589600617115,0.021589443822141202
P7,1,phenylene,-0.09058999999999998,-0.11504900000000004,0.16316595950780818,0.08822904037278446
P7,2,phenylene,-0.24143,-0.17673399999999997,0.17280291920121696,0.23042892403894702
P7,3,phenylene,-0.27025,-0.3150510000000002,0.17669183615740539,0.31978707823108027
P7,4,phenylene,-0.25629,-0.17675099999999974,0.1728013194544272,0.23042892403894702
P7,5,phenylene,-0.0802,-0.11504299999999992,0.16316621794798364,0.08822904037278448
P7,6,phenylene,-0.031069999999999987,-0.05068600000000015,0.07568585172498755,0.021307549123315624
P8,0,phenylene,-0.017459999999999976,-0.027806000000000247,0.058100728673225674,0.011380435279379224
P8,1,phenylene,-0.07719000000000004,-0.08118900000000026,0.13656794137295625,0.0489682856117141
P8,2,phenylene,-0.12859999999999996,-0.10038600000000009,0.14140415313439422,0.15378028742074307
P8,3,phenylene,-0.2696099999999999,-0.29062100000000024,0.16392242421383238,0.2856577918872851
P8,4,phenylene,-0.2836200000000001,-0.29061800000000027,0.16392361664570998,0.2859586256740639
P8,5,phenylene,-0.1285799999999999,-0.10038499999999995,0.141407630717632,0.15378028742074307
P8,6,phenylene,-0.07646000000000006,-0.08118800000000007,0.136571950976989,0.049093851426692356
P8,7,phenylene,-0.01735999999999996,-0.027799000000000074,0.058101554265260556,0.011380435279379224
P9,0,phenylene,-0.009879999999999972,-0.02353899999999981,0.045913374852692965,0.00619401098056044
P9,1,phenylene,-0.03773000000000004,-0.05478399999999986,0.11275071189430803,0.025984961911277745
P9,2,phenylene,-0.07320999999999989,-0.052675000000000194,0.12158762858127078,0.09346244631914603
P9,3,phenylene,-0.23488000000000003,-0.22731699999999985,0.14390436521020988,0.2232818483469244
P9,4,phenylene,-0.2924399999999999,-0.2833309999999999,0.15168152381640063,0.3019958265444395
P9,5,phenylene,-0.2501499999999998,-0.22733499999999998,0.14390614164000587,0.2232818483469244
P9,6,phenylene,-0.07318999999999995,-0.05267999999999992,0.12158917384088987,0.09346244631914602
P9,7,phenylene,-0.037659999999999916,-0.05478899999999989,0.11275289114087395,0.02600826451565043
P9,8,phenylene,-0.009849999999999914,-0.023542999999999925,0.04591418902334802,0.006328346715930964
P10,0,phenylene,-0.005819999999999992,0.028327000000000102,0.03709045759899141,0.0027558843904801488
P10,1,phenylene,-0.01638000000000006,-0.0377029999999996,0.09425086068718187,0.013097569582858598
P10,2,phenylene,-0.050220000000000015,-0.08836600000000011,0.10309469923672586,0.052296204478811954
P10,3,phenylene,-0.14953000000000005,-0.15689499999999995,0.1293508453969552,0.15414201896651722
P10,4,phenylene,-0.25231000000000003,-0.24536100000000005,0.13620405216100046,0.27800407688326423
P10,5,phenylene,-0.29472,-0.24536500000000022,0.13620690116234785,0.27800407688326423
P10,6,phenylene,-0.14169,-0.15689699999999998,0.12935415480004858,0.15379534988932717
P10,7,phenylene,-0.056880000000000125,-0.08836500000000017,0.1031017685254594,0.052296204478811954
P10,8,phenylene,-0.016360000000000013,-0.03770299999999982,0.09425169733731273,0.012972047335481166
P10,9,phenylene,-0.005720000000000031,0.028326999999999936,0.03709456309397648,0.002636567111183378
P11,0,phenylene,-0.0021599999999999953,0.020718000000000014,0.03020881652252575,0.0016490995985556295
P11,1,phenylene,0.0011099999999999999,-0.026830000000000215,0.0792512730644966,0.00743745411125735
P11,2,phenylene,-0.02456,-0.061881000000000186,0.08862137500636924,0.02791522151064086
P11,3,phenylene,-0.15159000000000006,-0.09238399999999986,0.11419593486113719,0.09303271078500018
P11,4,phenylene,-0.18177000000000001,-0.19550400000000004,0.1245583289197867,0.2207301332600786
P11,5,phenylene,-0.35174,-0.2882509999999999,0.12630672405317647,0.2988377091664007
P11,6,phenylene,-0.20944999999999997,-0.19549600000000017,0.12455934657399471,0.2207301332600786
P11,7,phenylene,-0.1011800000000001,-0.0923740000000001,0.11420374516240718,0.0931356247810308
P11,8,phenylene,-0.020940000000000014,-0.06187800000000013,0.08862268401909738,0.027700236092113306
P11,9,phenylene,0.0018200000000000716,-0.026835999999999943,0.07925991899624596,0.006929262473233081
P11,10,phenylene,-0.0021999999999998965,0.02071800000000007,0.030211852820762813,0.0019024149616109944
P12,0,phenylene,-0.0016699999999999215,0.013785000000000075,0.024945968623247758,0.0007707876941280516
P12,1,phenylene,0.013450000000000045,-0.00901600000000008,0.06716059101204,0.00310403052365982
P12,2,phenylene,-0.021019999999999955,-0.040417000000000064,0.07580025470587137,0.014939426230865086
P12,3,phenylene,-0.06465999999999997,-0.07174300000000003,0.10113662665110068,0.052995311492025694
P12,4,phenylene,-0.14373999999999998,-0.1446080000000003,0.11236621522185529,0.15262344294532998
P12,5,phenylene,-0.2772600000000002,-0.24808800000000006,0.11855956132330164,0.27586636956350186
P12,6,phenylene,-0.24641000000000002,-0.24803900000000015,0.11856428979003121,0.2761580797770628
P12,7,phenylene,-0.15699999999999995,-0.1445489999999999,0.11237565671060754,0.15201240474010558
P12,8,phenylene,-0.02634000000000003,-0.07170100000000007,0.10114712062219904,0.05255183287318771
P12,9,phenylene,-0.021220000000000017,-0.04039800000000002,0.0758146966340501,0.014831641021127292
P12,10,phenylene,0.0041400000000000325,-0.009011999999999992,0.06717716753851824,0.003399023649323267
P12,11,phenylene,-0.001500000000000029,0.01378000000000007,0.024951851167176648,0.0007476494896827
